FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyraja_brachyurops,Chimaera_monstrosa,Dalatias_licha,Dipturus_oxyrinchus,Etmopterus_spinax,Galeus_melastomus,Mustelus_asterias,Mustelus_mustelus,Myliobatis_aquila,RSH_C1,RSS_C1,Raja_asterias,Raja_clavata,Raja_miraletus,Raja_polystigma,SSH_C1,SSS_C1,Scyliorhinus_canicula,Squalus_blainville,Torpedo_marmorata,Torpedo_torpedo,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
SB,-0.00041306,-2.28539e-05,1.13412e-05,-0.000266507,0.00013253,3.53288e-05,3.16198e-05,9.94887e-05,5.1751e-05,5.17743e-05,-2.47453e-05,-6.15764e-05,-7.96027e-05,4.4486e-06,2.63537e-05,7.77095e-05,-1.11375e-05,-9.34109e-05,1.74665e-05,3.15627e-05,-2.3929e-06,1.58988e-05,-6.0277e-06,-0.000106548,4.02516e-05,1.13808e-05,3.16413e-05,-0.000947376,-0.000708399,-9.41318e-05,5.26421e-05,2.08302e-05,-4.35486e-05,-5.96637e-05,1.25032e-05,0.000207534,-7.1589e-06,6.9428e-06,-8.522e-07,3.09491e-05,8.24112e-05,-3.2763e-06,8.727e-07,6.4383e-06,-3.38784e-05,2.64241e-05,-6.63074e-05,1.51485e-05,6.9261e-06,1.84493e-05,2.15111e-05,-6.36125e-05,6.72984e-05,3.46159e-05,6.56911e-05,0.000133642,-1.0958e-05,2.0794e-06,-5.39362e-05,-7.5948e-06,-8.69543e-05,-8.58829e-05,-3.42116e-05,-5.274e-06,-3.93266e-05,3.13842e-05,-5.5508e-06,8.72345e-05,3.9358e-05,-2.78198e-05,5.06418e-05,-3.96183e-05,-6.78458e-05,1.66894e-05,1.42105e-05,7.9981e-06,4.3712e-06,2.7581e-06,5.26422e-05,0.000113925,-4.61243e-05,4.36292e-05,-5.02345e-05,0.000108585,-3.33109e-05,-6.73334e-05,-3.28072e-05,-4.6607e-06,1.60618e-05,-1.042e-07,-0.000143287,-1.09021e-05,-1.51789e-05,3.25953e-05,3.02107e-05,6.9428e-06,-1.29654e-05,-9.12892e-05,3.26991e-05,8.5615e-06,1.74307e-05,7.9028e-06,-1.55438e-05,-0.00083606,-0.000573245,-3.114e-07,1.53174e-05
MM,0.0249844,-0.0904089,-0.00583555,-0.0395322,-0.00393606,-0.00721001,0.00740253,0.0161884,-0.0356652,0.0058602,0.00164194,0.00557603,-0.00462035,0.0122329,0.0285458,-0.0233545,-0.00993578,-0.0155726,-0.13412,0.0331565,0.00648814,0.00636875,-0.0684521,0.0524129,0.0309125,0.00223529,-0.0162335,0.0635938,0.022841,0.00319777,0.0344777,-0.0133735,-0.102609,-0.24175,0.00270288,-0.0149669,0.0108798,-0.0187404,-0.0172823,0.00410628,-0.010025,-0.0069734,0.00216089,0.00124129,0.00629092,-0.00456913,0.0115515,-0.00502135,0.000688729,0.000589736,-0.00261391,-0.00300959,-0.0106563,-0.00249691,-0.00966408,-0.0122334,0.00243953,-0.000871043,0.00624456,5.29505e-05,0.0105417,0.00816724,0.00468438,0.00028563,0.00505127,0.0106443,-0.00955122,0.221099,-0.00785003,-0.123767,0.0820977,-0.080209,-0.0794053,-0.00445473,0.00327333,-0.00907382,-0.00608723,-0.00695307,-0.00710992,-0.00699879,-0.0842899,0.0657989,-0.105564,0.230285,-0.0847656,-0.0790825,0.00542914,0.00102468,-0.00227772,0.0156774,-0.020145,-0.0501804,-0.0714578,0.00355924,-0.00420215,-0.0187404,0.00886644,-0.0224694,0.00315062,-0.0057046,-0.00416667,-0.00565539,0.0131081,0.0446916,0.0326533,0.00636068,-0.00840547
TUR,7.97057e-05,-0.000345479,-0.155588,-0.000146947,8.76534e-05,6.49964e-05,-2.04816e-05,-1.28506e-05,-0.00015739,0.0002229,0.000347157,-0.00023379,1.7547e-06,0.000550026,0.00143871,0.000639112,0.000687318,0.000133557,0.0010067,8.43213e-05,3.42414e-05,0.000265899,0.000348173,0.000285703,7.85954e-05,-4.29175e-05,7.6626e-06,8.13115e-05,0.000408964,2.82849e-05,-0.000145562,7.73762e-05,-0.00270056,7.51542e-05,-4.06938e-05,0.000140852,8.6545e-05,-0.0179035,0.0003937,0.000457481,-3.13083e-05,0.00147883,0.000160077,0.00120888,0.000467716,0.00328637,0.00294618,0.0275077,-0.384984,0.0030088,0.0254454,0.000269262,-6.05676e-05,4.1465e-06,-3.02585e-05,-1.24537e-05,1.12042e-05,-5.8872e-06,-5.40385e-05,8.4914e-06,3.96562e-05,2.66244e-05,-0.0002958,-0.00064731,-0.000279451,-0.000190663,0.00163497,-6.15635e-05,0.000477091,7.5396e-05,-3.12203e-05,0.000327984,-0.00136902,0.000565635,-0.00149674,0.00128964,-0.00808969,-0.000446402,-0.00202034,-0.00023158,0.000181597,-2.76258e-05,-0.000326792,-2.75397e-05,0.000254583,0.000166482,-0.000250499,6.0488e-06,-2.91186e-05,-0.00120708,0.000122305,8.77433e-05,-0.000300687,2.0003e-06,5.50358e-05,-0.0179035,-0.000373329,-8.98531e-05,4.3906e-06,-4.97709e-05,0.000423541,7.20894e-05,8.54637e-05,0.000221575,0.000146027,-0.000261009,0.000279314
XIP,-0.00188496,-0.000830733,0.000363886,-0.296169,-0.235035,-0.0461887,0.0307157,-0.0155584,-0.00400883,0.00838658,0.013873,0.0136337,0.0128913,-0.00108332,0.000386516,0.000948817,0.00013845,0.0205326,-0.0451024,0.00220076,-0.00314088,-0.0014743,0.0308309,-0.0032083,-0.00963019,0.041201,0.0285989,-0.0122017,0.0130556,0.00539466,0.000700378,0.0034307,-0.00623099,-0.00855163,-0.000312978,0.00309713,-0.00167075,0.00488458,0.00505209,-0.00329246,-0.000657579,0.00171216,-0.0013604,-0.000237272,-0.000185247,-0.000169356,0.00231217,-0.00102446,-0.000100283,-0.00385912,-0.00102022,0.000761128,0.00165733,-0.0175691,-0.00220384,0.00167001,-0.000359895,0.000128774,0.00052503,0.000190377,-0.00155739,-0.00081091,0.000365217,-0.000102597,9.7182e-06,-0.0222077,-0.00437444,-0.00118178,-0.00462345,0.000759089,-0.00127446,0.00187725,0.00195639,-0.018615,-0.0046636,-0.00446007,-0.0166477,-0.0182308,-0.0185131,-0.0182216,0.00110799,-0.000561479,-0.00174649,-0.000801882,-1.99915e-05,0.00259383,-0.000701976,-0.000162002,-0.000107745,0.00241049,0.325509,0.0235197,0.0217838,0.0104888,-0.0375993,0.00488458,0.00152949,0.282339,0.00833831,-0.000432477,0.000155036,3.78058e-05,0.0205588,0.00407305,-0.00849462,0.00886581,-0.00181354
THU,0.00126108,-0.00899495,0.000183066,-0.109796,-0.135511,-0.0313311,-0.0290621,0.0297826,-0.010652,0.00272428,0.0041205,0.00900955,0.00904985,0.00672457,0.0201334,-0.00641839,-0.0031853,0.00821448,0.00457921,0.0110876,0.00475898,-9.01163e-05,-0.0896506,-0.00586716,-0.000586508,0.0272201,-0.000140788,0.000630451,0.00344339,0.00393724,0.00377028,0.0032783,0.0070401,-0.0287469,3.47098e-05,0.000478346,-0.00146921,0.00195913,-3.1991e-06,-0.00152245,-0.00154935,6.8021e-05,-0.000150682,-3.5555e-06,0.00059414,-0.000496719,-0.00194459,0.00157087,-3.72805e-05,-0.0014879,0.00130779,0.000246076,-0.0009313,-0.0119765,-0.00138061,-0.00173882,0.000356605,-0.00017998,0.000996216,-6.32226e-05,0.00115318,0.00112152,0.000694946,1.7327e-06,0.000556502,-0.00884132,-0.00160163,0.0220647,-0.00268155,-0.0104767,0.00806379,-0.00887755,-0.00927634,-0.00882441,-0.00120193,-0.00192453,-0.00607745,-0.00809003,-0.00893739,-0.00863444,-0.00764024,0.00718725,-0.0061046,0.0234894,-0.00897506,-0.00488014,0.000519167,0.000136312,-0.000351609,-0.00184797,-0.0532999,-0.0562971,-0.0656744,-0.0296589,-0.0239826,0.00195913,0.000229411,0.153342,-0.0297224,-0.000386447,-0.000768538,-0.000536172,0.0076398,0.0010905,0.0102363,0.00268315,-0.000618924
LPL,-0.00504815,-0.00568558,7.19572e-05,-0.0333027,-0.0842617,-0.440359,-0.347125,0.131923,0.0376811,-0.00102745,-0.0737939,-0.155069,-0.196936,0.0121446,0.00481102,0.0220639,0.0169885,-0.236114,-0.00456082,-0.0363167,0.0227232,0.0217243,-0.0362962,0.0006584749999999999,0.10592,-0.49559,-0.26788,0.0740147,-0.177391,-0.0669514,-0.00500846,-0.0330576,0.0100839,0.0507853,0.00674812,-0.0041345,0.0170838,-0.00740291,-0.0517665,0.0471432,0.0114871,-0.0159585,0.0106818,0.00306322,0.000482757,0.00229525,-0.0154793,0.00536599,3.43716e-05,0.0431324,0.0074021,-0.0140142,-0.0121197,0.212816,0.0300665,-0.00749242,0.00266897,-0.00103152,-0.00868918,-0.00210441,0.00970016,0.00235877,-0.00567142,0.000225959,-0.00284085,0.0599874,0.019832,-0.0414899,0.028089,0.0243507,-0.00396867,-4.6242e-06,0.00375179,0.0211421,-0.00178937,0.0223858,0.0189599,0.0167558,0.0281533,0.0295973,0.00995258,-0.00912896,0.0289763,-0.0474441,0.0279978,-0.00509729,0.0033568,0.00129521,0.00188392,-0.0217012,-0.0235618,-0.0971267,-0.0290608,-0.108633,0.452002,-0.00740291,-0.0183219,0.075072,-0.0832771,0.00248986,0.00589305,-0.0032419,-0.100444,-0.0378457,0.0239608,-0.0507454,0.00747841
MPL,-0.000558146,-0.00722668,-0.00200079,0.0122737,-0.00149534,-0.00722667,-0.116074,-0.44967,0.00361813,-0.000335233,-0.0133616,-0.0208304,-0.0290488,0.00738924,0.0094119,0.000339961,5.83368e-05,-0.0360882,0.00278209,-0.00161782,0.0046868,-0.0249742,-0.0392885,0.0123515,0.0133312,0.00845537,0.0206129,-0.00074588,-0.00670672,0.00234808,-0.00324853,-0.0172532,-0.0417938,-0.00301133,0.00012992,-0.00368097,0.00884695,-0.00430664,-0.00626274,0.00837323,0.00012449,-0.00357198,-0.00266304,0.000472688,0.000593055,-0.000647724,0.00458005,-0.00275618,0.000314437,0.00544455,-0.00187433,0.00337069,-0.00841217,-0.00292997,0.000569885,0.0136442,-0.00156032,0.000443067,-0.000241508,0.000941673,0.000175104,-0.0063965,-5.8228e-05,0.000241918,0.000237665,0.000126602,0.00254484,-0.000101308,0.00323953,-0.00706557,-0.00130829,0.00741761,-0.0137993,0.00158292,-0.00392732,0.00276741,0.00200608,-0.00353253,0.00190536,-0.000303099,-0.00344712,-0.00252713,-0.00516778,-0.00203292,-0.0163285,0.000732526,0.00103656,-0.000596231,4.45929e-05,0.0355392,0.00264182,0.18369,-0.0272614,0.649541,-0.0109772,-0.00430664,0.00280838,0.00285209,0.624621,-0.00403068,0.00215066,-0.00263949,-0.0127688,-0.00332684,0.025668,-0.00771454,-0.00163175
SPL,-0.00360883,-0.0089398,0.00153093,-0.00296377,-0.00250494,-0.015393,0.187208,-0.142373,-0.00598164,0.000355301,-0.00875774,-0.00419245,-0.00460573,-0.0112298,-0.0136473,-0.00409997,-0.0052975,-0.00412813,-0.00097763,0.00673787,-0.000961345,-0.004004,0.0737084,-0.0115428,-0.0482636,0.0111072,-0.0341168,-0.0118361,0.00562981,-0.000768527,0.00514289,-0.00142871,-0.00569575,-0.0105932,0.0020299,0.00465832,0.00147188,0.00322738,0.0256251,0.00135165,0.00784038,0.00784543,-0.00727588,-0.00137261,-0.00669779,0.00254775,0.00618745,-0.00442977,0.00084402,0.00381156,-0.00322581,-0.00308202,0.00703752,-0.00710216,0.000417783,-0.0211269,0.00393922,-0.00148257,-0.00401093,-0.00350514,0.00318795,0.00874977,-0.00280115,-0.000316901,-0.00381697,-0.0189745,0.00566069,0.00723875,0.00378141,-0.0126818,-0.0038343,0.0165157,0.0312833,0.000676982,-0.00646017,0.00511368,-0.00314524,-0.000201003,6.88485e-05,-0.00149731,0.00381057,0.00130528,-0.00488012,0.0142272,-0.00365213,-0.00178897,-0.00574466,0.00150442,0.002079,0.00945979,-0.00241126,0.0842225,0.0556664,0.133921,0.0437833,0.00322738,0.00101844,0.00221458,0.128256,-3.5387e-06,0.0108582,0.0018077,0.0028281,-0.00405298,0.0483886,0.00235796,0.00182798
HAK0,-0.000107381,-4.14898e-05,4.91817e-05,1.79648e-05,-2.67669e-05,-1.75288e-05,-0.000694643,0.000413474,-0.00292164,-0.0037136,0.000401724,-3.73966e-05,0.00206996,-3.44921e-05,-1.0942e-05,-2.21792e-05,6.4187e-06,-0.00013738,0.000106693,0.000194619,-0.000412667,-0.000559836,-0.000154566,-0.000285313,-1.45385e-05,0.000137087,-0.000287464,-0.000180174,0.000175087,-1.83194e-05,7.79541e-05,2.79939e-05,-0.000263822,7.1714e-06,8.81125e-05,0.000211568,-0.000336429,9.04622e-05,-0.000220942,-0.000171496,7.31599e-05,7.72726e-05,7.33305e-05,1.78624e-05,-1.4188e-06,5.2864e-05,2.72354e-05,-3.35735e-05,3.43376e-05,8.94409e-05,0.000121555,0.000140141,-0.00553735,8.88634e-05,5.01462e-05,2.31287e-05,0.000503938,-0.00027668,4.4684e-06,-0.000254549,0.00323734,0.000207133,-5.9562e-05,-2.87194e-05,-5.06239e-05,-0.000133843,9.57315e-05,-0.000296777,-0.000359563,0.000248564,-0.00136352,0.000312436,0.000298221,7.01692e-05,0.000214131,-3.66186e-05,7.40735e-05,-2.72382e-05,7.45923e-05,7.36419e-05,0.000189778,0.00012465,0.000146953,-1.0121e-05,-2.83986e-05,0.000251799,-2.17505e-05,0.000204266,6.49741e-05,-0.000220457,-0.000110187,-0.000216131,-0.000184203,-0.000516553,-2.67917e-05,9.04622e-05,-0.000346798,-1.02224e-05,-0.000497619,-0.000122048,-0.000173636,-0.000129995,7.99209e-05,-2.19477e-05,-0.000104339,3.27879e-05,-0.000146356
HAK1,-0.000326422,-0.000390561,0.000116696,-3.01398e-05,-0.000225605,0.000103658,-0.00125013,0.00225708,-0.0035782,-0.0131789,-0.00524857,-0.0028422,0.00185627,-0.000363414,-0.00150865,-0.000121371,-0.000640153,0.000386316,-0.000469075,-4.33271e-05,-0.00439545,-0.000779719,-0.00178359,-0.00107617,-0.00132809,0.00075097,-0.00135659,0.000598786,0.000324028,-0.00202495,0.000630405,0.000217068,-0.000633347,-0.0006673,-0.00119929,0.000347111,-0.000663549,0.000239647,0.000374145,-0.000715519,0.0004052,0.000360193,-4.13977e-05,7.75916e-05,-0.000113533,0.000307638,0.000543606,-0.000389972,1.80931e-05,0.000194632,-0.000151742,0.000317433,-0.0106248,0.000809483,0.000481219,0.00221819,0.000965679,-0.000567528,-9.54893e-05,-0.000530152,0.00543485,-0.000748395,-0.000258523,-0.000129437,-0.00020653,-0.00111947,-0.000187537,9.7513e-06,-0.00123583,-6.1341e-06,-0.00272832,0.00172827,0.00150282,-0.000326311,0.00042642,-0.000492075,-0.000530946,0.0101446,-0.000343309,-0.000424927,0.00302237,0.000464423,3.11105e-05,0.000812222,0.00109455,0.00995561,-0.000166233,0.00040457,0.000220822,-0.000523631,-0.000196349,-0.00100206,-0.00149623,-0.000894062,-0.00012473,0.000239647,-0.000167716,-5.37246e-05,-0.000856206,-3.71593e-05,-0.000297063,0.000211738,8.93034e-05,0.000471707,0.000202477,0.000702105,0.000120668
HAK2,0.0113387,-0.000782137,0.000295893,0.0110517,-0.00352859,-0.017864,0.00201151,-0.00311629,-0.158706,-0.0491057,-0.0444475,-0.0496015,-0.0508577,-0.00409683,-0.00662798,-0.00140957,-0.00182425,-0.0688538,0.00065232,0.00103505,0.00285871,-0.0130368,0.000263492,-0.00108435,-0.00524816,0.0164763,0.00561009,0.0275973,0.0175106,-0.000926962,-0.00320098,-0.000279763,-0.00189849,0.0107797,-0.00876698,-7.245e-05,0.000432397,6.97936e-05,-0.0140733,0.00138222,-0.000123747,0.000709349,-0.000133755,-0.000156831,0.000114077,-0.000122631,0.00157933,-0.000865008,0.000669118,0.0147404,0.000571773,0.00434261,0.000242237,-0.00621207,0.00312014,-0.00319856,0.000548738,-0.000238281,0.000281849,-0.00026582,0.000971516,0.00161184,-0.000492301,3.1232e-06,6.37891e-05,-0.00108289,0.00839814,-0.0107488,0.00911649,0.0044619,-0.00543123,0.00362991,0.00462865,0.00627851,-0.00589952,0.00860946,0.00543815,0.0271312,0.00582124,0.00469663,0.007273,-0.00397278,0.00642337,-0.0118505,-0.00250753,0.0270509,0.000417986,0.000262556,7.25552e-05,-0.0055323,0.00154178,0.00179365,-0.000226372,-0.00321601,-0.0145894,6.97936e-05,-0.00956637,0.000917822,-0.0037718,-0.00409247,-0.00501885,-0.00548916,-0.0214879,0.0229947,0.0124647,-0.00869944,-0.00398608
HAK3,0.0161412,0.00042431,-0.00320743,0.013038,-0.00346275,-0.0264208,0.00542765,-0.00392371,0.0123908,-0.00496764,-0.0466048,-0.10355,-0.128134,0.00120395,-0.000670734,-0.00116425,-0.0173378,-0.104613,-0.0254943,-0.00660182,0.00117702,-0.00161666,-0.00253477,-0.00508517,-0.000807411,0.0238977,0.0138792,0.041359,0.0207963,-0.000666261,-0.00419303,0.00207878,0.00355415,0.0160959,-0.00667393,0.000763554,-6.03089e-05,-0.00726149,-0.0171819,-0.0326442,-0.00166812,0.00280447,-0.000790485,-0.00064537,0.000790488,-0.000640318,0.000813301,0.000547228,-0.00617362,0.0182655,-0.0122113,0.00336745,-0.000304905,-0.00930595,0.00319351,-0.00553876,0.00104662,-0.000459411,0.00113959,-0.000365771,0.00210531,0.00301239,0.000229701,5.44464e-05,0.000712704,-0.010547,0.00221114,-0.0146789,0.000366734,0.0087842,-0.00579593,0.00403864,0.00450023,-0.0052457,-0.00481819,0.0016548,-0.0101115,0.00631541,-0.00736395,-0.00658286,0.0119958,-0.0046306,0.00891256,-0.0166805,0.00638339,0.0369445,0.000699062,0.000481181,-0.000336938,0.0100451,0.0237521,0.00140437,-0.00130562,-0.00294892,-0.0215779,-0.00726149,0.0664225,-0.000192011,-0.00383951,0.0364831,-0.0249136,0.0499053,-0.0379559,0.0320374,0.0176999,-0.0220637,0.041666
HAK4,0.00108213,7.01622e-05,-0.000223097,0.000791429,-0.000192791,-0.00169384,0.000352526,-0.000217816,-0.0151855,-0.00254204,-0.00283637,-0.00781605,-0.0101404,0.00102552,0.000655561,0.000798842,-0.000894406,-0.00671346,-0.00232857,-0.00182224,0.00022219,-0.000134454,-0.000240525,-0.000235326,-6.24449e-05,0.00146678,0.000861542,0.00259904,0.00159738,0.000129712,-0.000347111,0.000218826,0.000308305,0.001186,0.000291003,-1.05056e-05,-1.42997e-05,0.000375818,-0.00181896,-0.00265891,-0.000196586,0.000231652,-0.000154308,-7.25801e-05,4.36918e-05,-7.1117e-05,4.11295e-05,9.21857e-05,-0.000653285,0.000968868,-0.00117729,0.000190973,6.16978e-05,-0.00062681,-3.2216e-05,-0.000364103,7.14445e-05,-3.03493e-05,0.000119902,-2.27127e-05,8.99644e-05,0.000201815,7.64725e-05,2.08436e-05,8.51939e-05,-0.000943851,8.91358e-05,-0.00106269,0.0025874,0.000692996,-0.000326688,-2.42978e-05,9.5743e-05,-0.000566296,-0.00182288,0.000821971,-0.000461103,-0.00129894,-0.000644098,-0.00070192,6.13707e-05,-0.000393482,0.000364932,-0.00143755,0.00013498,-5.3171e-05,3.99294e-05,3.05077e-05,-4.21389e-05,0.00110963,0.00206214,-1.8969e-05,-0.000125703,-0.000185695,-0.00136501,0.000375818,0.00621497,-3.75843e-05,-0.000242919,0.0036309,-0.0021632,0.00489832,-0.00333555,0.00214145,0.00115898,-0.00204261,0.0041099
MUL0,-0.000127051,-9.22984e-05,0.00019079,-0.000133788,7.71469e-05,4.4118e-06,-0.000235595,-0.000414726,-0.00160013,-0.00139438,-0.00162413,-0.000410974,0.000414076,-0.00318295,-0.00251383,-0.00179607,-0.00121394,9.20024e-05,-0.000206475,0.00227155,-0.0003621,-0.000299471,0.00138471,-0.000169693,-6.4185e-05,-5.94898e-05,-0.000172728,-0.000130402,-0.0003565,-9.26091e-05,-0.00072326,-0.000305173,-0.000413643,-4.86984e-05,-7.36486e-05,0.000125382,8.7569e-05,-0.000224978,7.8694e-06,3.65427e-05,-0.00037627,6.31281e-05,0.000411632,0.000590276,-0.00233081,0.00149147,0.000341452,-0.000101765,0.000546894,0.00104469,-0.000396463,-0.00414243,0.0001548,3.7889e-06,1.22564e-05,-0.00026015,-5.73512e-05,3.69057e-05,0.000117375,9.23748e-05,4.4767e-06,0.000192161,0.000207993,-0.000490486,-7.78593e-05,0.000271839,-0.000693621,1.6287e-05,-0.000773148,-0.000124792,5.27813e-05,0.000332038,0.000318352,0.00042033,0.0023739,-0.000719277,0.00638137,0.000682167,0.000349788,0.000435023,0.00291066,0.000106266,0.0047532,0.000131866,0.000181695,0.00767396,0.000248924,-1.94904e-05,-0.000102489,-0.000360383,-4.26565e-05,0.00121624,0.000930644,-0.00017247,-4.89737e-05,-0.000224978,-0.000187489,-5.16032e-05,-0.000165759,-0.000294686,3.52582e-05,-0.000148889,0.00148828,-0.000230565,-8.47541e-05,0.00117286,-0.000222435
MUL1,-0.000416233,-0.000253071,-0.000900738,-0.000373751,0.000371354,9.885e-06,-0.00177614,-0.00257405,0.00101189,-0.0115631,-0.0106033,-0.00474897,0.00219089,-0.0125951,-0.0233046,-0.00403246,-0.00397945,0.00105743,-0.00338731,0.00139134,-0.00144948,-0.00122635,0.0137108,-0.00442816,-0.00014807,-0.00020274,-0.00110103,-0.000278422,-0.00204382,0.000177957,-0.00288807,-0.00054725,-0.00148803,-0.000469909,2.3099e-06,-0.00131237,0.000318008,-0.00581889,0.000196883,-0.000368334,-0.00112923,-0.00141871,-0.00593618,0.00094629,-0.00494338,-0.00711234,-0.00884826,0.00711184,0.00208521,0.0029578,0.00579372,-0.000793481,0.000737741,7.7213e-06,-0.000551687,0.000205062,-4.34098e-05,5.04514e-05,0.000759278,0.000221556,-0.000506923,0.00011786,0.000709494,-0.000518605,0.000309197,0.00994397,-0.00440348,0.000678607,-0.00358369,-0.000354002,0.000571627,0.00861313,0.00879048,0.00929209,0.0289725,-0.00416359,0.0883809,0.0144446,0.00969542,0.0100001,0.0244464,0.000736582,0.00982946,0.000132307,0.0081145,0.0718632,0.00162627,2.32219e-05,-0.000269723,-0.00215137,-0.00123303,0.00944306,0.00973767,-0.00130639,-0.000249552,-0.00581889,-0.00162453,-0.000149629,-0.00125645,-0.0015977,-0.000138307,-0.00105875,0.00122408,-0.00105999,-6.11055e-05,0.00484262,-0.00130686
MUL2,-0.000225016,0.000463031,0.000167911,0.000203433,0.000243442,0.000120215,-0.00158499,0.00126567,-0.0155881,0.00238819,-0.00203442,-0.00535807,-0.00965163,-0.00664587,0.00431928,-0.0760171,-0.0226703,-0.00226643,-0.0124248,0.0198791,-0.000946968,-0.000373216,0.000189923,-0.00166316,0.00117137,0.000202615,0.000908458,-0.00255589,0.0035905,0.00014834,-0.000838608,0.000119072,0.00198298,0.000651552,-3.5959e-05,-0.115055,0.000749614,0.00576165,-0.00671021,-0.00894956,0.0035754,0.00103131,-0.00217329,-0.0055935,-0.00929904,0.00179691,0.0309786,-0.0139744,-0.00235338,0.00208386,-0.0184252,0.0066369,0.000121951,0.000176948,0.000383482,1.25362e-05,0.000145887,5.48238e-05,-0.00176186,-0.000314398,-8.40896e-05,-0.000286004,-9.8736e-05,0.00435975,0.00234676,-0.0069027,-0.00118633,0.000348086,-0.00765315,0.000197477,8.7932e-05,-0.0081586,-0.00292369,-0.0065149,-0.0113301,-0.0030514,-0.00809037,-0.0130674,-0.0157793,-0.0583926,0.00183736,0.00125799,0.000780911,0.0032606,0.000242146,0.00126006,0.00219104,0.000129237,0.00121186,-0.000223514,-0.000804773,-0.000453448,0.000454508,-0.0011365,9.82654e-05,0.00576165,-0.000118855,6.455e-06,-0.00108881,0.00520911,-0.0073833,-0.00122113,0.0120788,0.000182859,-0.000767902,0.00379764,0.0408637
MUL3,-0.000226528,-5.43356e-05,-0.00136123,0.000425667,-4.13692e-05,0.000573627,-0.000848127,0.00060669,-0.00581797,0.000488445,-0.00149462,-0.0146924,-0.0202875,-0.00293592,0.000410849,-0.0117363,-0.0185759,0.00167577,-0.0157729,0.00813324,4.78453e-05,-0.00138975,-9.21359e-05,-0.000250084,0.000238622,-3.52139e-05,-3.34633e-05,-0.00050518,0.000266992,-0.00127768,-0.00121582,-0.000210258,-1.33532e-05,-0.000595062,-0.00396994,-0.00133188,0.000594352,0.00159381,-0.0111811,-0.0192543,0.000492813,0.000192531,-0.00436324,-0.000303059,-0.00374283,-0.000338701,-0.0019445,0.00201647,-0.0027917,0.000925342,-0.00560912,0.00139366,0.000339405,0.000419643,0.00180324,0.000145752,-0.000121764,7.66454e-05,-0.000210007,0.000100622,-0.000246316,-6.69654e-05,1.19689e-05,0.000213687,-7.10084e-05,-0.00613137,-0.0064722,0.000433628,-0.00672501,-0.000520545,-0.000155125,-0.00184973,-0.000876352,-0.00590626,0.00504484,-0.0065442,-0.00514615,-0.00555777,-0.00558048,-0.00648232,-0.00204787,0.000186098,-0.00150646,0.00139391,-0.00236881,-0.00237675,0.000251157,-9.9131e-06,0.000179149,0.0167961,-0.00155828,-0.000536641,-0.000149305,-0.000474187,0.000414541,0.00159381,-0.000480004,9.10302e-05,-0.00043443,0.0630716,-0.0150439,0.0171533,0.00578565,-0.000157017,-0.000164061,0.00184561,0.0385731
TRA,-0.121013,-0.00796202,0.00305596,-0.126303,0.0359379,0.195176,-0.0451564,0.035723,-0.0664457,0.0042287,0.295429,0.490285,0.628437,0.00881861,0.0285194,-0.00590932,-0.00921987,-0.241686,0.0110422,0.0250233,-0.0202214,0.0111617,0.00266721,0.0291589,0.0107574,-0.168092,-0.0945738,-0.291782,-0.173572,-0.0174504,0.0131699,-0.00456895,-0.0326613,-0.1347,-0.0140176,0.010279,0.00454437,0.00269118,-0.00114022,-0.145973,0.0227649,0.00151883,0.00252673,0.00195998,-0.00780402,0.00343735,-0.00255605,-0.00540986,0.00125006,-0.138411,-0.00162597,-0.0131046,0.00801265,0.0719302,0.00788183,0.0404844,-0.00981156,0.00438827,-0.0150947,0.00349446,-0.0186939,-0.0230963,-0.00833085,-0.00202815,-0.0106663,-0.0457037,-0.0910151,0.127872,-0.0750076,-0.0709936,0.0466151,-0.023032,-0.0342768,-0.0727374,0.0307124,-0.0862182,-0.070467,-0.0214509,-0.0678458,-0.0677015,-0.0346562,0.0426162,-0.062193,0.14093,-0.0429663,-0.0320317,-0.0130081,-0.00405078,0.00426876,0.0231574,-0.0229145,-0.0166799,-0.00463377,0.0180544,0.157925,0.00269118,0.050118,-0.0137151,0.0247749,-0.000325236,-0.0813737,0.0102025,0.259683,-0.238133,-0.129404,0.130362,-0.0224546
